Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Beer,1,18.12096,1151100.523040293,86.7061923076923
Stale While Revalidate,Beer,2,20.06784,1151100.523040293,86.7061923076923
Stale While Revalidate,Beer,3,16.62336,1151100.523040293,86.7061923076923
Stale While Revalidate,Beer,4,18.27072,1151100.523040293,86.7061923076923
Stale While Revalidate,Beer,5,18.420479999999998,1151100.523040293,86.7061923076923
Stale While Revalidate,Beer,6,23.36256,1151100.523040293,86.7061923076923
Stale While Revalidate,Beer,7,19.16928,1151100.523040293,86.7061923076923
Stale While Revalidate,Beer,8,19.16928,1151100.523040293,86.7061923076923
Stale While Revalidate,Beer,9,17.07264,1151100.523040293,86.7061923076923
Stale While Revalidate,Beer,10,18.420479999999998,1151100.523040293,86.7061923076923
