Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Bird and Earth,1,39.08736,1124349.6577871148,171.88391736694683
Stale While Revalidate,Bird and Earth,2,35.34336000000001,1124349.6577871148,171.88391736694683
Stale While Revalidate,Bird and Earth,3,33.546240000000004,1124349.6577871148,171.88391736694683
Stale While Revalidate,Bird and Earth,4,43.280640000000005,1124349.6577871148,171.88391736694683
Stale While Revalidate,Bird and Earth,5,40.4352,1124349.6577871148,171.88391736694683
Stale While Revalidate,Bird and Earth,6,31.449600000000004,1124349.6577871148,171.88391736694683
Stale While Revalidate,Bird and Earth,7,64.24704000000001,1124349.6577871148,171.88391736694683
Stale While Revalidate,Bird and Earth,8,47.62368,1124349.6577871148,171.88391736694683
Stale While Revalidate,Bird and Earth,9,32.64768000000001,1124349.6577871148,171.88391736694683
Stale While Revalidate,Bird and Earth,10,35.1936,1124349.6577871148,171.88391736694683
