Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Currency Calc,1,21.41568,1164571.7727564105,55.30688782051281
Stale While Revalidate,Currency Calc,2,21.11616,1164571.7727564105,55.30688782051281
Stale While Revalidate,Currency Calc,3,18.27072,1164571.7727564105,55.30688782051281
Stale While Revalidate,Currency Calc,4,19.61856,1164571.7727564105,55.30688782051281
Stale While Revalidate,Currency Calc,5,22.164479999999998,1164571.7727564105,55.30688782051281
Stale While Revalidate,Currency Calc,6,29.2032,1164571.7727564105,55.30688782051281
Stale While Revalidate,Currency Calc,7,19.91808,1164571.7727564105,55.30688782051281
Stale While Revalidate,Currency Calc,8,20.51712,1164571.7727564105,55.30688782051281
Stale While Revalidate,Currency Calc,9,19.768320000000003,1164571.7727564105,55.30688782051281
Stale While Revalidate,Currency Calc,10,25.75872,1164571.7727564105,55.30688782051281
