Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Dev's Coffee,1,73.3824,1456274.4810526315,15.53721052631579
Stale While Revalidate,Dev's Coffee,2,63.648,1456274.4810526315,15.53721052631579
Stale While Revalidate,Dev's Coffee,3,67.09248000000001,1456274.4810526315,15.53721052631579
Stale While Revalidate,Dev's Coffee,4,74.73024000000001,1456274.4810526315,15.53721052631579
Stale While Revalidate,Dev's Coffee,5,72.18432,1456274.4810526315,15.53721052631579
Stale While Revalidate,Dev's Coffee,6,65.8944,1456274.4810526315,15.53721052631579
Stale While Revalidate,Dev's Coffee,7,66.64320000000001,1456274.4810526315,15.53721052631579
Stale While Revalidate,Dev's Coffee,8,63.048959999999994,1456274.4810526315,15.53721052631579
Stale While Revalidate,Dev's Coffee,9,64.99583999999999,1456274.4810526315,15.53721052631579
Stale While Revalidate,Dev's Coffee,10,65.29536000000002,1456274.4810526315,15.53721052631579
