Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Football Peek,1,24.26112,1181174.2143709152,38.6823382352941
Stale While Revalidate,Football Peek,2,29.05344,1181174.2143709152,38.6823382352941
Stale While Revalidate,Football Peek,3,29.2032,1181174.2143709152,38.6823382352941
Stale While Revalidate,Football Peek,4,32.04864,1181174.2143709152,38.6823382352941
Stale While Revalidate,Football Peek,5,34.744319999999995,1181174.2143709152,38.6823382352941
Stale While Revalidate,Football Peek,6,31.449600000000004,1181174.2143709152,38.6823382352941
Stale While Revalidate,Football Peek,7,33.09696,1181174.2143709152,38.6823382352941
Stale While Revalidate,Football Peek,8,35.04384,1181174.2143709152,38.6823382352941
Stale While Revalidate,Football Peek,9,36.39168,1181174.2143709152,38.6823382352941
Stale While Revalidate,Football Peek,10,25.75872,1181174.2143709152,38.6823382352941
