Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,jetzt,1,24.26112,1181174.2143709152,38.6823382352941
Stale While Revalidate,jetzt,2,29.05344,1181174.2143709152,38.6823382352941
Stale While Revalidate,jetzt,3,29.2032,1181174.2143709152,38.6823382352941
Stale While Revalidate,jetzt,4,32.04864,1181174.2143709152,38.6823382352941
Stale While Revalidate,jetzt,5,34.744319999999995,1181174.2143709152,38.6823382352941
Stale While Revalidate,jetzt,6,31.449600000000004,1181174.2143709152,38.6823382352941
Stale While Revalidate,jetzt,7,33.09696,1181174.2143709152,38.6823382352941
Stale While Revalidate,jetzt,8,35.04384,1181174.2143709152,38.6823382352941
Stale While Revalidate,jetzt,9,36.39168,1181174.2143709152,38.6823382352941
Stale While Revalidate,jetzt,10,25.75872,1181174.2143709152,38.6823382352941
