Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,27.169,27.169,screen dark,9.248843811
0,27.169,27.169,wifi running,0.31411167660000006
0.0,6.068925999978092,6.068925999978092,core 0 cpu_idle start,0.14500824751603653
0.0,6.068725999968592,6.068725999968592,core 1 cpu_idle start,0.14500346880380957
0.0,6.066980000003241,6.066980000003241,core 2 cpu_idle start,0.14496175064887745
0.0,6.066821999964304,6.066821999964304,core 3 cpu_idle start,0.1449579754654671
0.0,6.067830999963917,6.067830999963917,core 4 cpu_idle start,0.14498208406749785
0.0,6.086294999986421,6.086294999986421,core 5 cpu_idle start,0.14542325475987555
0.0,6.096482999972068,6.096482999972068,core 6 cpu_idle start,0.1456666823488126
0.0,8.3348629999673,8.3348629999673,core 7 cpu_idle start,0.1991495491814987
