datetime,cpu,mem
Sat Oct 24 14:26:13 GMT 2020,13,1145092
Sat Oct 24 14:26:14 GMT 2020,8.5,1144243
Sat Oct 24 14:26:15 GMT 2020,8.5,1181411
Sat Oct 24 14:26:16 GMT 2020,8.5,1188622
Sat Oct 24 14:26:18 GMT 2020,8.5,1185190
Sat Oct 24 14:26:19 GMT 2020,25,1183755
Sat Oct 24 14:26:21 GMT 2020,25,1183097
Sat Oct 24 14:26:22 GMT 2020,25,1183077
Sat Oct 24 14:26:24 GMT 2020,25,1184539
Sat Oct 24 14:26:25 GMT 2020,14,1183526
Sat Oct 24 14:26:27 GMT 2020,14,1183538
Sat Oct 24 14:26:28 GMT 2020,14,1183606
Sat Oct 24 14:26:29 GMT 2020,14,1184736
Sat Oct 24 14:26:31 GMT 2020,13,1183499
Sat Oct 24 14:26:32 GMT 2020,13,1183627
Sat Oct 24 14:26:34 GMT 2020,13,1183683
Sat Oct 24 14:26:35 GMT 2020,13,1185108
Sat Oct 24 14:26:37 GMT 2020,13,1183747
Sat Oct 24 14:26:38 GMT 2020,13,1183460
