datetime,cpu,mem
Sat Oct 24 14:58:09 GMT 2020,18,1209744
Sat Oct 24 14:58:10 GMT 2020,9.8,1210461
Sat Oct 24 14:58:11 GMT 2020,9.8,1251690
Sat Oct 24 14:58:12 GMT 2020,9.8,1261251
Sat Oct 24 14:58:14 GMT 2020,9.8,1232919
Sat Oct 24 14:58:15 GMT 2020,33,1232173
Sat Oct 24 14:58:16 GMT 2020,33,1246981
Sat Oct 24 14:58:18 GMT 2020,33,1247543
Sat Oct 24 14:58:19 GMT 2020,33,1247110
Sat Oct 24 14:58:20 GMT 2020,22,1240927
Sat Oct 24 14:58:22 GMT 2020,22,1241359
Sat Oct 24 14:58:23 GMT 2020,22,1241534
Sat Oct 24 14:58:24 GMT 2020,22,1242607
Sat Oct 24 14:58:26 GMT 2020,21,1241310
Sat Oct 24 14:58:27 GMT 2020,21,1240854
Sat Oct 24 14:58:28 GMT 2020,21,1240626
Sat Oct 24 14:58:30 GMT 2020,21,1242047
Sat Oct 24 14:58:31 GMT 2020,15,1241780
Sat Oct 24 14:58:32 GMT 2020,15,1243505
Sat Oct 24 14:58:34 GMT 2020,15,1243551
Sat Oct 24 14:58:35 GMT 2020,15,1244144
