datetime,cpu,mem
Sat Oct 24 14:36:28 GMT 2020,15,1147825
Sat Oct 24 14:36:30 GMT 2020,7.7,1146646
Sat Oct 24 14:36:31 GMT 2020,7.7,1187532
Sat Oct 24 14:36:32 GMT 2020,7.7,1188090
Sat Oct 24 14:36:33 GMT 2020,7.7,1188680
Sat Oct 24 14:36:34 GMT 2020,7.7,1189957
Sat Oct 24 14:36:36 GMT 2020,26,1187611
Sat Oct 24 14:36:37 GMT 2020,26,1187563
Sat Oct 24 14:36:38 GMT 2020,26,1187423
Sat Oct 24 14:36:40 GMT 2020,26,1188855
Sat Oct 24 14:36:41 GMT 2020,13,1187675
Sat Oct 24 14:36:42 GMT 2020,13,1187591
Sat Oct 24 14:36:43 GMT 2020,13,1187775
Sat Oct 24 14:36:45 GMT 2020,13,1189001
Sat Oct 24 14:36:46 GMT 2020,13,1187424
Sat Oct 24 14:36:47 GMT 2020,13,1185722
Sat Oct 24 14:36:49 GMT 2020,13,1185922
Sat Oct 24 14:36:50 GMT 2020,13,1187343
Sat Oct 24 14:36:51 GMT 2020,14,1186158
Sat Oct 24 14:36:53 GMT 2020,14,1186210
Sat Oct 24 14:36:54 GMT 2020,14,1186050
Sat Oct 24 14:36:55 GMT 2020,14,1189720
