datetime,cpu,mem
Sat Oct 24 14:47:52 GMT 2020,13,1170929
Sat Oct 24 14:47:53 GMT 2020,9.2,1169999
Sat Oct 24 14:47:55 GMT 2020,9.2,1217639
Sat Oct 24 14:47:56 GMT 2020,9.2,1229157
Sat Oct 24 14:47:57 GMT 2020,9.2,1230562
Sat Oct 24 14:47:59 GMT 2020,0,1230797
Sat Oct 24 14:48:00 GMT 2020,0,1230223
Sat Oct 24 14:48:01 GMT 2020,0,1229483
Sat Oct 24 14:48:03 GMT 2020,0,1230236
Sat Oct 24 14:48:04 GMT 2020,16,1228944
Sat Oct 24 14:48:05 GMT 2020,16,1229000
Sat Oct 24 14:48:07 GMT 2020,16,1228948
Sat Oct 24 14:48:08 GMT 2020,16,1230481
Sat Oct 24 14:48:09 GMT 2020,13,1229049
Sat Oct 24 14:48:11 GMT 2020,13,1220102
Sat Oct 24 14:48:12 GMT 2020,13,1219173
Sat Oct 24 14:48:13 GMT 2020,13,1220774
Sat Oct 24 14:48:15 GMT 2020,14,1219541
Sat Oct 24 14:48:16 GMT 2020,14,1219681
Sat Oct 24 14:48:17 GMT 2020,14,1219357
Sat Oct 24 14:48:19 GMT 2020,14,1236938
