datetime,cpu,mem
Sat Oct 24 13:21:32 GMT 2020,13,1140683
Sat Oct 24 13:21:33 GMT 2020,5.9,1139697
Sat Oct 24 13:21:34 GMT 2020,5.9,1182777
Sat Oct 24 13:21:36 GMT 2020,5.9,1182648
Sat Oct 24 13:21:37 GMT 2020,5.9,1181784
Sat Oct 24 13:21:38 GMT 2020,5.9,1181983
Sat Oct 24 13:21:39 GMT 2020,23,1179959
Sat Oct 24 13:21:40 GMT 2020,23,1179827
Sat Oct 24 13:21:42 GMT 2020,23,1179867
Sat Oct 24 13:21:43 GMT 2020,23,1180046
Sat Oct 24 13:21:44 GMT 2020,23,1181624
Sat Oct 24 13:21:45 GMT 2020,14,1180326
Sat Oct 24 13:21:47 GMT 2020,14,1180362
Sat Oct 24 13:21:48 GMT 2020,14,1180290
Sat Oct 24 13:21:49 GMT 2020,14,1180418
Sat Oct 24 13:21:50 GMT 2020,14,1181811
Sat Oct 24 13:21:51 GMT 2020,13,1179369
Sat Oct 24 13:21:53 GMT 2020,13,1179369
Sat Oct 24 13:21:54 GMT 2020,13,1179517
Sat Oct 24 13:21:55 GMT 2020,13,1179577
Sat Oct 24 13:21:56 GMT 2020,13,1181027
Sat Oct 24 13:21:57 GMT 2020,13,1179737
Sat Oct 24 13:21:59 GMT 2020,13,1179667
