datetime,cpu,mem
Sat Oct 24 15:17:33 GMT 2020,16,1167908
Sat Oct 24 15:17:34 GMT 2020,7.4,1165992
Sat Oct 24 15:17:36 GMT 2020,7.4,1204920
Sat Oct 24 15:17:37 GMT 2020,7.4,1207400
Sat Oct 24 15:17:38 GMT 2020,7.4,1209137
Sat Oct 24 15:17:40 GMT 2020,25,1208177
Sat Oct 24 15:17:41 GMT 2020,25,1207601
Sat Oct 24 15:17:43 GMT 2020,25,1207921
Sat Oct 24 15:17:44 GMT 2020,25,1209251
Sat Oct 24 15:17:46 GMT 2020,14,1208311
Sat Oct 24 15:17:47 GMT 2020,14,1208095
Sat Oct 24 15:17:49 GMT 2020,14,1208263
Sat Oct 24 15:17:50 GMT 2020,14,1209664
Sat Oct 24 15:17:52 GMT 2020,13,1208479
Sat Oct 24 15:17:53 GMT 2020,13,1208543
Sat Oct 24 15:17:54 GMT 2020,13,1208699
Sat Oct 24 15:17:56 GMT 2020,13,1210048
Sat Oct 24 15:17:57 GMT 2020,13,1208771
Sat Oct 24 15:17:59 GMT 2020,13,1208581
