datetime,cpu,mem
Sat Oct 24 13:44:24 GMT 2020,15,1155916
Sat Oct 24 13:44:25 GMT 2020,6.1,1157164
Sat Oct 24 13:44:26 GMT 2020,6.1,1590364
Sat Oct 24 13:44:27 GMT 2020,6.1,2046841
Sat Oct 24 13:44:28 GMT 2020,6.1,2146558
Sat Oct 24 13:44:30 GMT 2020,6.1,1666336
Sat Oct 24 13:44:31 GMT 2020,32,1489265
Sat Oct 24 13:44:32 GMT 2020,32,1488169
Sat Oct 24 13:44:34 GMT 2020,32,1488013
Sat Oct 24 13:44:35 GMT 2020,32,1489424
Sat Oct 24 13:44:37 GMT 2020,13,1488148
Sat Oct 24 13:44:38 GMT 2020,13,1488204
Sat Oct 24 13:44:39 GMT 2020,13,1488344
Sat Oct 24 13:44:41 GMT 2020,13,1489658
Sat Oct 24 13:44:42 GMT 2020,13,1488445
Sat Oct 24 13:44:43 GMT 2020,13,1488529
Sat Oct 24 13:44:45 GMT 2020,13,1488537
Sat Oct 24 13:44:46 GMT 2020,13,1489858
Sat Oct 24 13:44:48 GMT 2020,13,1488561
Sat Oct 24 13:44:49 GMT 2020,13,1488177
Sat Oct 24 13:44:50 GMT 2020,13,1487490
