datetime,cpu,mem
Sat Oct 24 14:14:51 GMT 2020,15,1152988
Sat Oct 24 14:14:52 GMT 2020,3.7,1154282
Sat Oct 24 14:14:53 GMT 2020,3.7,1169146
Sat Oct 24 14:14:54 GMT 2020,3.7,1165608
Sat Oct 24 14:14:56 GMT 2020,3.7,1165454
Sat Oct 24 14:14:57 GMT 2020,3.7,1166929
Sat Oct 24 14:14:58 GMT 2020,23,1163864
Sat Oct 24 14:15:00 GMT 2020,23,1163972
Sat Oct 24 14:15:01 GMT 2020,23,1163771
Sat Oct 24 14:15:02 GMT 2020,23,1165273
Sat Oct 24 14:15:03 GMT 2020,14,1164047
Sat Oct 24 14:15:05 GMT 2020,14,1164199
Sat Oct 24 14:15:06 GMT 2020,14,1164139
Sat Oct 24 14:15:07 GMT 2020,14,1165576
Sat Oct 24 14:15:09 GMT 2020,13,1164258
Sat Oct 24 14:15:10 GMT 2020,13,1164318
Sat Oct 24 14:15:11 GMT 2020,13,1164570
Sat Oct 24 14:15:12 GMT 2020,13,1166040
Sat Oct 24 14:15:14 GMT 2020,13,1164662
Sat Oct 24 14:15:15 GMT 2020,13,1164750
Sat Oct 24 14:15:16 GMT 2020,13,1164746
Sat Oct 24 14:15:18 GMT 2020,13,1167499
