datetime,cpu,mem
Sat Oct 24 13:58:56 GMT 2020,6.5,1143352
Sat Oct 24 13:58:58 GMT 2020,18,1141198
Sat Oct 24 13:58:59 GMT 2020,18,1169418
Sat Oct 24 13:59:00 GMT 2020,18,1171555
Sat Oct 24 13:59:01 GMT 2020,18,1172096
Sat Oct 24 13:59:02 GMT 2020,18,1173721
Sat Oct 24 13:59:04 GMT 2020,36,1173268
Sat Oct 24 13:59:05 GMT 2020,36,1172792
Sat Oct 24 13:59:06 GMT 2020,36,1174138
Sat Oct 24 13:59:07 GMT 2020,36,1175551
Sat Oct 24 13:59:09 GMT 2020,28,1174310
Sat Oct 24 13:59:10 GMT 2020,28,1174448
Sat Oct 24 13:59:11 GMT 2020,28,1174564
Sat Oct 24 13:59:12 GMT 2020,28,1174896
Sat Oct 24 13:59:14 GMT 2020,28,1176367
Sat Oct 24 13:59:15 GMT 2020,28,1175246
Sat Oct 24 13:59:16 GMT 2020,28,1175346
Sat Oct 24 13:59:17 GMT 2020,28,1175452
Sat Oct 24 13:59:19 GMT 2020,28,1175702
Sat Oct 24 13:59:20 GMT 2020,28,1177134
Sat Oct 24 13:59:21 GMT 2020,27,1175982
Sat Oct 24 13:59:22 GMT 2020,27,1175824
Sat Oct 24 13:59:24 GMT 2020,27,1175942
