Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Beer,1,58.4496,1141667.4309523809,17.156595238095232
Stale While Revalidate,Beer,2,58.88797200000001,1141667.4309523809,17.156595238095232
Stale While Revalidate,Beer,3,62.39494799999999,1141667.4309523809,17.156595238095232
Stale While Revalidate,Beer,4,60.641459999999995,1141667.4309523809,17.156595238095232
Stale While Revalidate,Beer,5,59.91083999999999,1141667.4309523809,17.156595238095232
Stale While Revalidate,Beer,6,63.12556800000001,1141667.4309523809,17.156595238095232
Stale While Revalidate,Beer,7,59.18022000000001,1141667.4309523809,17.156595238095232
Stale While Revalidate,Beer,8,65.171304,1141667.4309523809,17.156595238095232
Stale While Revalidate,Beer,9,60.495336,1141667.4309523809,17.156595238095232
Stale While Revalidate,Beer,10,61.225956,1141667.4309523809,17.156595238095232
