Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Bird and Earth,1,86.35928400000002,1180550.5823684211,10.882842105263157
Stale While Revalidate,Bird and Earth,2,83.72905200000002,1180550.5823684211,10.882842105263157
Stale While Revalidate,Bird and Earth,3,86.65153199999999,1180550.5823684211,10.882842105263157
Stale While Revalidate,Bird and Earth,4,93.227112,1180550.5823684211,10.882842105263157
Stale While Revalidate,Bird and Earth,5,81.82943999999998,1180550.5823684211,10.882842105263157
Stale While Revalidate,Bird and Earth,6,92.350368,1180550.5823684211,10.882842105263157
Stale While Revalidate,Bird and Earth,7,85.77478800000002,1180550.5823684211,10.882842105263157
Stale While Revalidate,Bird and Earth,8,90.59688,1180550.5823684211,10.882842105263157
Stale While Revalidate,Bird and Earth,9,98.195328,1180550.5823684211,10.882842105263157
Stale While Revalidate,Bird and Earth,10,81.975564,1180550.5823684211,10.882842105263157
