Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Currency Calc,1,60.20308800000001,1165387.3007894738,11.962315789473687
Stale While Revalidate,Currency Calc,2,62.1027,1165387.3007894738,11.962315789473687
Stale While Revalidate,Currency Calc,3,61.81045200000001,1165387.3007894738,11.962315789473687
Stale While Revalidate,Currency Calc,4,61.225956,1165387.3007894738,11.962315789473687
Stale While Revalidate,Currency Calc,5,62.1027,1165387.3007894738,11.962315789473687
Stale While Revalidate,Currency Calc,6,61.956576,1165387.3007894738,11.962315789473687
Stale While Revalidate,Currency Calc,7,62.248824,1165387.3007894738,11.962315789473687
Stale While Revalidate,Currency Calc,8,64.148436,1165387.3007894738,11.962315789473687
Stale While Revalidate,Currency Calc,9,62.68719599999999,1165387.3007894738,11.962315789473687
Stale While Revalidate,Currency Calc,10,61.81045200000001,1165387.3007894738,11.962315789473687
