Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Dev's Coffee,1,79.63758,1576331.4422077918,18.754545454545454
Stale While Revalidate,Dev's Coffee,2,73.500372,1576331.4422077918,18.754545454545454
Stale While Revalidate,Dev's Coffee,3,78.760836,1576331.4422077918,18.754545454545454
Stale While Revalidate,Dev's Coffee,4,83.29068000000001,1576331.4422077918,18.754545454545454
Stale While Revalidate,Dev's Coffee,5,74.96161199999997,1576331.4422077918,18.754545454545454
Stale While Revalidate,Dev's Coffee,6,75.10773599999997,1576331.4422077918,18.754545454545454
Stale While Revalidate,Dev's Coffee,7,75.10773599999997,1576331.4422077918,18.754545454545454
Stale While Revalidate,Dev's Coffee,8,72.915876,1576331.4422077918,18.754545454545454
Stale While Revalidate,Dev's Coffee,9,68.239908,1576331.4422077918,18.754545454545454
Stale While Revalidate,Dev's Coffee,10,76.71509999999998,1576331.4422077918,18.754545454545454
