Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Resilient Web Design,1,59.18022000000001,1114154.0156060606,15.87861038961039
Stale While Revalidate,Resilient Web Design,2,56.98836,1114154.0156060606,15.87861038961039
Stale While Revalidate,Resilient Web Design,3,59.61859200000001,1114154.0156060606,15.87861038961039
Stale While Revalidate,Resilient Web Design,4,57.71898,1114154.0156060606,15.87861038961039
Stale While Revalidate,Resilient Web Design,5,64.148436,1114154.0156060606,15.87861038961039
Stale While Revalidate,Resilient Web Design,6,58.88797200000001,1114154.0156060606,15.87861038961039
Stale While Revalidate,Resilient Web Design,7,59.32634399999999,1114154.0156060606,15.87861038961039
Stale While Revalidate,Resilient Web Design,8,66.34029600000001,1114154.0156060606,15.87861038961039
Stale While Revalidate,Resilient Web Design,9,59.472468000000006,1114154.0156060606,15.87861038961039
Stale While Revalidate,Resilient Web Design,10,59.91083999999999,1114154.0156060606,15.87861038961039
