Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,WavePad,1,92.642616,1105202.2907491059,25.40191981931112
Stale While Revalidate,WavePad,2,88.98951600000001,1105202.2907491059,25.40191981931112
Stale While Revalidate,WavePad,3,90.01238400000003,1105202.2907491059,25.40191981931112
Stale While Revalidate,WavePad,4,97.464708,1105202.2907491059,25.40191981931112
Stale While Revalidate,WavePad,5,102.2868,1105202.2907491059,25.40191981931112
Stale While Revalidate,WavePad,6,94.834476,1105202.2907491059,25.40191981931112
Stale While Revalidate,WavePad,7,98.487576,1105202.2907491059,25.40191981931112
Stale While Revalidate,WavePad,8,94.396104,1105202.2907491059,25.40191981931112
Stale While Revalidate,WavePad,9,92.204244,1105202.2907491059,25.40191981931112
Stale While Revalidate,WavePad,10,96.44184,1105202.2907491059,25.40191981931112
