Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Beer,1,62.172936,1167711.8410107284,15.320689440993789
Stale While Revalidate,Beer,2,62.59780799999999,1167711.8410107284,15.320689440993789
Stale While Revalidate,Beer,3,64.72216800000001,1167711.8410107284,15.320689440993789
Stale While Revalidate,Beer,4,59.48208,1167711.8410107284,15.320689440993789
Stale While Revalidate,Beer,5,62.172936,1167711.8410107284,15.320689440993789
Stale While Revalidate,Beer,6,62.172936,1167711.8410107284,15.320689440993789
Stale While Revalidate,Beer,7,58.490712,1167711.8410107284,15.320689440993789
Stale While Revalidate,Beer,8,63.02268,1167711.8410107284,15.320689440993789
Stale While Revalidate,Beer,9,69.39576000000001,1167711.8410107284,15.320689440993789
Stale While Revalidate,Beer,10,60.1902,1167711.8410107284,15.320689440993789
