Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Bird and Earth,1,84.54952800000001,1200399.2029323308,14.170949039264825
Stale While Revalidate,Bird and Earth,2,80.867304,1200399.2029323308,14.170949039264825
Stale While Revalidate,Bird and Earth,3,56.507976000000006,1200399.2029323308,14.170949039264825
Stale While Revalidate,Bird and Earth,4,83.841408,1200399.2029323308,14.170949039264825
Stale While Revalidate,Bird and Earth,5,77.8932,1200399.2029323308,14.170949039264825
Stale While Revalidate,Bird and Earth,6,83.27491199999999,1200399.2029323308,14.170949039264825
Stale While Revalidate,Bird and Earth,7,80.442432,1200399.2029323308,14.170949039264825
Stale While Revalidate,Bird and Earth,8,54.666864000000004,1200399.2029323308,14.170949039264825
Stale While Revalidate,Bird and Earth,9,79.59268800000002,1200399.2029323308,14.170949039264825
Stale While Revalidate,Bird and Earth,10,80.15918400000002,1200399.2029323308,14.170949039264825
