Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Currency Calc,1,66.98815200000001,1187004.9464502162,18.900329004329006
Stale While Revalidate,Currency Calc,2,64.58054399999999,1187004.9464502162,18.900329004329006
Stale While Revalidate,Currency Calc,3,62.739432,1187004.9464502162,18.900329004329006
Stale While Revalidate,Currency Calc,4,63.164304,1187004.9464502162,18.900329004329006
Stale While Revalidate,Currency Calc,5,93.046968,1187004.9464502162,18.900329004329006
Stale While Revalidate,Currency Calc,6,66.84652799999999,1187004.9464502162,18.900329004329006
Stale While Revalidate,Currency Calc,7,63.7308,1187004.9464502162,18.900329004329006
Stale While Revalidate,Currency Calc,8,61.60643999999999,1187004.9464502162,18.900329004329006
Stale While Revalidate,Currency Calc,9,63.305928,1187004.9464502162,18.900329004329006
Stale While Revalidate,Currency Calc,10,68.970888,1187004.9464502162,18.900329004329006
