Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Dev's Coffee,1,68.82926400000001,1551476.545408432,16.759862977602104
Stale While Revalidate,Dev's Coffee,2,65.00541599999998,1551476.545408432,16.759862977602104
Stale While Revalidate,Dev's Coffee,3,81.4338,1551476.545408432,16.759862977602104
Stale While Revalidate,Dev's Coffee,4,63.7308,1551476.545408432,16.759862977602104
Stale While Revalidate,Dev's Coffee,5,66.84652799999999,1551476.545408432,16.759862977602104
Stale While Revalidate,Dev's Coffee,6,68.40439200000002,1551476.545408432,16.759862977602104
Stale While Revalidate,Dev's Coffee,7,76.335336,1551476.545408432,16.759862977602104
Stale While Revalidate,Dev's Coffee,8,65.99678399999999,1551476.545408432,16.759862977602104
Stale While Revalidate,Dev's Coffee,9,67.2714,1551476.545408432,16.759862977602104
Stale While Revalidate,Dev's Coffee,10,70.10387999999999,1551476.545408432,16.759862977602104
