Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Footbal Peek,1,59.340456,1133416.4104677208,16.09193346508564
Stale While Revalidate,Footbal Peek,2,56.224728000000006,1133416.4104677208,16.09193346508564
Stale While Revalidate,Footbal Peek,3,60.47344799999998,1133416.4104677208,16.09193346508564
Stale While Revalidate,Footbal Peek,4,56.79122399999999,1133416.4104677208,16.09193346508564
Stale While Revalidate,Footbal Peek,5,61.181568000000006,1133416.4104677208,16.09193346508564
Stale While Revalidate,Footbal Peek,6,63.44755200000001,1133416.4104677208,16.09193346508564
Stale While Revalidate,Footbal Peek,7,60.47344799999998,1133416.4104677208,16.09193346508564
Stale While Revalidate,Footbal Peek,8,72.08661599999998,1133416.4104677208,16.09193346508564
Stale While Revalidate,Footbal Peek,9,59.765328000000004,1133416.4104677208,16.09193346508564
Stale While Revalidate,Footbal Peek,10,60.75669600000001,1133416.4104677208,16.09193346508564
