Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,Jetzt,1,68.68763999999999,1226997.503809524,11.37142857142857
Stale While Revalidate,Jetzt,2,68.12114399999999,1226997.503809524,11.37142857142857
Stale While Revalidate,Jetzt,3,66.56328,1226997.503809524,11.37142857142857
Stale While Revalidate,Jetzt,4,74.35260000000002,1226997.503809524,11.37142857142857
Stale While Revalidate,Jetzt,5,75.343968,1226997.503809524,11.37142857142857
Stale While Revalidate,Jetzt,6,75.48559200000003,1226997.503809524,11.37142857142857
Stale While Revalidate,Jetzt,7,69.112512,1226997.503809524,11.37142857142857
Stale While Revalidate,Jetzt,8,75.343968,1226997.503809524,11.37142857142857
Stale While Revalidate,Jetzt,9,74.494224,1226997.503809524,11.37142857142857
Stale While Revalidate,Jetzt,10,71.66174399999998,1226997.503809524,11.37142857142857
