Strategy,App,Iteration,Energy,Mem,CPU
Stale While Revalidate,WavePad,1,93.896712,1130532.0541243176,24.17408714473932
Stale While Revalidate,WavePad,2,93.33021600000001,1130532.0541243176,24.17408714473932
Stale While Revalidate,WavePad,3,83.983032,1130532.0541243176,24.17408714473932
Stale While Revalidate,WavePad,4,85.399272,1130532.0541243176,24.17408714473932
Stale While Revalidate,WavePad,5,81.15055200000002,1130532.0541243176,24.17408714473932
Stale While Revalidate,WavePad,6,97.437312,1130532.0541243176,24.17408714473932
Stale While Revalidate,WavePad,7,92.622096,1130532.0541243176,24.17408714473932
Stale While Revalidate,WavePad,8,91.913976,1130532.0541243176,24.17408714473932
Stale While Revalidate,WavePad,9,93.755088,1130532.0541243176,24.17408714473932
Stale While Revalidate,WavePad,10,87.948504,1130532.0541243176,24.17408714473932
